"anakis         ","P4ss_Word1234!           ",2021-12-19 00:00:00.000,Anakin,Skywalker
"bilbb          ","P4ss_Word1234!           ",2021-12-19 00:00:00.000,Bilbo,Bagings
"cereals        ","orange                   ",1980-01-14 02:49:17.000,Maria,de Beer
"desserts       ","orange                   ",1966-03-27 14:32:58.000,Rob,Reuvers
"noodles        ","violet                   ",1958-07-03 18:42:17.000,Johan,Giessen
"pasta          ","yellow                   ",1987-05-23 07:06:37.000,Marieke,Cornelissen
"pies           ","red                      ",1991-01-25 21:58:01.000,Nathalie,Reuvers
"riveg          ","P4ss_Word1234!           ",2021-12-19 00:00:00.000,Geralt,Rivea
"salads         ","red                      ",1977-09-23 20:54:50.000,Marieke,Reuvers
"sandwiches     ","indigo                   ",1979-06-25 01:14:09.000,Erik,Rodrigues
"seafood        ","red                      ",1969-09-15 02:54:06.000,Jan,Rodrigues
"soups          ","red                      ",1956-02-07 02:32:01.000,John,Rodrigues
"stews          ","orange                   ",1975-09-02 02:57:35.000,Maria,Honing
