barcode,email address,date
10000002,Class.aptent@estcongue.edu,2017-11-09 00:00:00.000
10000003,ultrices@egetlacus.com,2017-06-13 00:00:00.000
10000007,est.Nunc.laoreet@fermentumrisus.net,2017-03-04 00:00:00.000
10000014,enim.Sed@Curabitursed.edu,2014-08-15 00:00:00.000
10000016,vel.nisl@acmattis.co.uk,2014-04-10 00:00:00.000
10000017,semper@a.edu,2014-11-03 00:00:00.000
10000022,est.Nunc.laoreet@fermentumrisus.net,2014-11-03 00:00:00.000
10000023,scelerisque.scelerisque@venenatis.ca,2015-07-12 00:00:00.000
10000025,eget.volutpat.ornare@Proinnisl.net,2016-03-11 00:00:00.000
10000026,porta.elit.a@ipsum.net,2014-02-10 00:00:00.000
10000027,nunc.ullamcorper@Nuncuterat.com,2017-11-27 00:00:00.000
10000029,sed.tortor@intempus.org,2017-11-16 00:00:00.000
10000032,dui.augue@loremvehiculaet.org,2015-12-03 00:00:00.000
10000036,semper@a.edu,2015-02-09 00:00:00.000
10000046,auctor@Pellentesque.org,2017-02-19 00:00:00.000
10000050,fringilla.Donec@lobortisrisusIn.net,2014-02-23 00:00:00.000
10000053,magna.Nam@Donecluctus.co.uk,2017-02-09 00:00:00.000
10000054,orci.Ut@Aeneangravidanunc.org,2016-09-15 00:00:00.000
10000057,congue@intempuseu.org,2017-07-13 00:00:00.000
10000058,Vestibulum.ante@maurissapien.com,2017-08-09 00:00:00.000
10000065,congue.turpis@consectetueradipiscing.com,2015-12-21 00:00:00.000
10000071,penatibus.et@disparturient.net,2017-08-25 00:00:00.000
10000075,gravida.sit.amet@loremipsumsodales.net,2015-05-28 00:00:00.000
10000082,Donec@egetipsum.edu,2016-11-20 00:00:00.000
10000084,eros.non@nunc.co.uk,2017-03-26 00:00:00.000
10000085,ultrices@egetlacus.com,2017-06-30 00:00:00.000
10000086,odio.sagittis@tincidunt.edu,2017-09-30 00:00:00.000
10000088,Nunc.sed@nondui.edu,2014-03-25 00:00:00.000
10000089,lorem@Craseu.org,2014-12-19 00:00:00.000
10000090,penatibus.et@disparturient.net,2016-12-14 00:00:00.000
10000091,pede.Cum.sociis@lorem.net,2017-08-25 00:00:00.000
10000093,nascetur.ridiculus@pharetraut.org,2016-11-15 00:00:00.000
10000096,facilisi.Sed.neque@consequatlectussit.edu,2017-09-13 00:00:00.000
10000097,Donec@egetipsum.edu,2017-06-23 00:00:00.000
10000098,nascetur.ridiculus@pharetraut.org,2014-10-06 00:00:00.000
10000100,sagittis@mattis.net,2016-12-03 00:00:00.000
10000101,Donec@egetipsum.edu,2016-06-30 00:00:00.000
10000102,Nulla.facilisi.Sed@fermentumvelmauris.edu,2017-04-06 00:00:00.000
10000103,placerat.velit.Quisque@ametante.edu,2015-04-09 00:00:00.000
10000104,penatibus.et@disparturient.net,2016-02-16 00:00:00.000
10000105,magna.Nam@Donecluctus.co.uk,2014-05-13 00:00:00.000
10000106,scelerisque.scelerisque@venenatis.ca,2016-08-24 00:00:00.000
10000110,auctor@Pellentesque.org,2016-11-22 00:00:00.000
10000111,vel.nisl@acmattis.co.uk,2015-09-02 00:00:00.000
10000116,nec.diam@purusMaecenas.co.uk,2015-05-24 00:00:00.000
10000120,porta.elit.a@ipsum.net,2016-12-14 00:00:00.000
10000121,orci.Ut@Aeneangravidanunc.org,2017-11-22 00:00:00.000
10000124,nec@Loremipsumdolor.net,2014-06-12 00:00:00.000
10000135,nascetur.ridiculus@pharetraut.org,2014-04-23 00:00:00.000
10000141,Fusce.mi@risusvarius.com,2016-11-08 00:00:00.000
10000154,congue@intempuseu.org,2017-03-29 00:00:00.000
10000155,Cum.sociis@Donecest.com,2014-09-27 00:00:00.000
10000164,odio.sagittis@tincidunt.edu,2017-10-17 00:00:00.000
10000166,Nunc.sed@nondui.edu,2017-04-03 00:00:00.000
10000169,Nulla.semper@veliteusem.com,2014-07-24 00:00:00.000
10000171,purus@eudui.co.uk,2015-12-16 00:00:00.000
10000172,metus.Aenean@posuereatvelit.ca,2015-03-12 00:00:00.000
10000174,purus.sapien@in.ca,2016-02-09 00:00:00.000
10000175,Integer@ornare.com,2015-03-27 00:00:00.000
10000176,tincidunt@eratVivamusnisi.net,2014-01-17 00:00:00.000
10000177,Nulla.interdum.Curabitur@ipsumsodales.com,2015-02-10 00:00:00.000
10000178,aliquam@magnaUt.com,2017-11-17 00:00:00.000
10000179,imperdiet@velfaucibus.edu,2016-12-23 00:00:00.000
10000181,elit@Nuncpulvinar.net,2015-01-11 00:00:00.000
10000182,Nulla.semper@veliteusem.com,2015-08-18 00:00:00.000
10000185,elit.pharetra.ut@mollisPhaselluslibero.ca,2016-02-29 00:00:00.000
10000186,sit.amet@a.org,2015-12-24 00:00:00.000
10000187,Fusce.mi@risusvarius.com,2016-04-15 00:00:00.000
10000188,Mauris.quis@maurissapien.com,2017-04-25 00:00:00.000
10000190,pede.ultrices.a@mi.org,2017-04-17 00:00:00.000
