barcode,starting date,email address,rental status,damaged,reparable
10000002,2014-08-11 00:00:00.000,sit@Etiam.co.uk,2014-08-15 00:00:00.000,"VERHUURD            ",NULL,NULL
10000004,2017-01-23 00:00:00.000,urna.Nullam.lobortis@tempor.com,2017-01-24 00:00:00.000,"VERHUURD            ",1,1
10000004,2017-07-08 00:00:00.000,dui.Cum.sociis@diamdictumsapien.ca,2017-07-18 00:00:00.000,"VERHUURD            ",1,1
10000005,2014-11-27 00:00:00.000,amet.lorem@Nullam.edu,2014-11-29 00:00:00.000,"VERHUURD            ",1,NULL
10000006,2017-03-22 00:00:00.000,elit.Etiam@tinciduntnequevitae.edu,2017-03-23 00:00:00.000,"VERHUURD            ",1,NULL
10000007,2017-02-23 00:00:00.000,eget.volutpat.ornare@Proinnisl.net,2017-03-04 00:00:00.000,"VERHUURD            ",NULL,NULL
10000009,2014-05-03 00:00:00.000,amet@quismassaMauris.net,2014-05-11 00:00:00.000,"VERHUURD            ",1,1
10000010,2014-04-08 00:00:00.000,Duis.at@sempertellusid.co.uk,2014-04-10 00:00:00.000,"VERHUURD            ",1,1
10000010,2015-09-19 00:00:00.000,aliquam@magnaUt.com,2015-09-22 00:00:00.000,"VERHUURD            ",1,1
10000013,2015-06-25 00:00:00.000,ac.mattis.velit@vitae.net,2015-07-09 00:00:00.000,"VERHUURD            ",1,NULL
10000018,2015-10-07 00:00:00.000,penatibus.et@disparturient.net,2015-10-08 00:00:00.000,"VERHUURD            ",1,1
10000018,2017-07-17 00:00:00.000,nec@Loremipsumdolor.net,2017-07-29 00:00:00.000,"VERHUURD            ",1,1
10000019,2016-02-17 00:00:00.000,risus.Nulla@seddui.edu,2016-02-18 00:00:00.000,"VERHUURD            ",1,1
10000019,2016-09-17 00:00:00.000,dui.lectus@sitamet.com,2016-09-26 00:00:00.000,"VERHUURD            ",1,1
10000020,2017-09-26 00:00:00.000,risus.Nulla@seddui.edu,2017-10-06 00:00:00.000,"VERHUURD            ",1,1
